Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2002-01-31,0.367748,0.376541,0.366841,0.376233,549549173.25375
2002-02-01,0.384307,0.390977,0.381876,0.387638,467265608.99301
2002-02-04,0.385514,0.39007,0.384307,0.388544,612813926.47928
2002-02-05,0.381766,0.395404,0.381766,0.387299,535989642.55443
2002-02-06,0.389642,0.395404,0.36738,0.375784,701036341.41986
2002-02-07,0.375126,0.384867,0.366582,0.369911,408054288.00575
2002-02-08,0.371357,0.375126,0.355885,0.365944,416850883.91316
2002-02-11,0.364039,0.38053,0.361378,0.38026,467613828.90836
2002-02-12,0.375435,0.381148,0.371926,0.376233,263110376.48085
2002-02-13,0.376541,0.384218,0.375126,0.380798,367040575.82822
2002-02-14,0.381426,0.384218,0.371078,0.374498,305214595.82363
2002-02-15,0.37357,0.38026,0.363133,0.363711,305234282.69017
2002-02-19,0.361677,0.363421,0.342136,0.34436,457825191.26301
2002-02-20,0.346453,0.353143,0.340331,0.351886,334862994.7823
2002-02-21,0.348916,0.350102,0.326335,0.327312,524098777.16374
2002-02-22,0.329664,0.349215,0.327312,0.346134,476850590.33204
2002-02-25,0.347949,0.376233,0.340331,0.362345,500750615.84042
2002-02-26,0.364039,0.371078,0.353791,0.360431,305168531.74559
2002-02-27,0.364389,0.369015,0.318757,0.33432,1208514130.1797
2002-02-28,0.337012,0.343792,0.325099,0.330352,536048755.3127
2002-03-01,0.333672,0.357699,0.332147,0.356812,409414166.31208
2002-03-04,0.35409,0.374208,0.346453,0.369603,408553549.22843
2002-03-05,0.36738,0.371627,0.356203,0.358317,322262513.49328
2002-03-06,0.35739,0.370509,0.348916,0.366582,265370284.72289
2002-03-07,0.366282,0.37357,0.359234,0.371078,302961242.51473
2002-03-08,0.376541,0.381766,0.369911,0.375435,316481391.45654
2002-03-11,0.374498,0.382633,0.366841,0.381426,308282544.26625
2002-03-12,0.373272,0.376541,0.366841,0.376233,298040682.39389
2002-03-13,0.371078,0.378376,0.36738,0.372594,235524852.59847
2002-03-14,0.369911,0.374498,0.363421,0.371627,254918142.40061
2002-03-15,0.372254,0.379981,0.369015,0.379662,282608753.84781
2002-03-18,0.379662,0.381426,0.370191,0.376541,357284811.14755
2002-03-19,0.375983,0.385105,0.369911,0.378376,284303687.03544
2002-03-20,0.375435,0.382633,0.372922,0.379333,345275730.27082
2002-03-21,0.363133,0.369911,0.35409,0.369333,723063999.17299
2002-03-22,0.368715,0.37387,0.363421,0.366582,237200065.81889
2002-03-25,0.366582,0.366582,0.353791,0.355555,308335110.11576
2002-03-26,0.353143,0.359872,0.350102,0.357091,302481626.03048
2002-03-27,0.355555,0.361039,0.35409,0.357091,149811873.69862
2002-03-28,0.36075,0.363421,0.357091,0.360431,127232425.98614
2002-04-01,0.355885,0.375983,0.354379,0.372254,233508012.51174
2002-04-02,0.365346,0.369911,0.363421,0.366582,239078919.29682
2002-04-03,0.366282,0.372594,0.359234,0.361677,251672782.46053
2002-04-04,0.360431,0.381426,0.360431,0.379034,397102822.27166
2002-04-05,0.379662,0.3836,0.366841,0.376541,326539294.9227
2002-04-08,0.367748,0.375784,0.362045,0.37387,306791292.46117
2002-04-09,0.374208,0.38053,0.365664,0.366841,224691625.42057
2002-04-10,0.368715,0.379662,0.365664,0.375435,263931556.63923
2002-04-11,0.381148,0.3836,0.376861,0.378376,477763711.07609
2002-04-12,0.380798,0.383251,0.374208,0.381426,375686140.4588
2002-04-15,0.381426,0.382633,0.377429,0.38053,351201359.74579
2002-04-16,0.382633,0.395404,0.382314,0.391835,720981528.50772
2002-04-17,0.394566,0.398445,0.386401,0.397318,464854521.0227
2002-04-18,0.388146,0.388426,0.378715,0.38696,471259915.43335
2002-04-19,0.387857,0.387857,0.379333,0.38026,440402732.63733
2002-04-22,0.378087,0.379333,0.369015,0.37357,316074065.80428
2002-04-23,0.37357,0.377159,0.366582,0.369015,273890989.66282
2002-04-24,0.369911,0.372922,0.360431,0.361677,164764195.79095
